Smiles,BalabanJ,BertzCT,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA2,EState_VSA3,EState_VSA4,FractionCSP3,Ipc,Kappa2,Kappa3,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinAbsEStateIndex,MinAbsPartialCharge,MinPartialCharge,NumRotatableBonds,PEOE_VSA10,PEOE_VSA7,PEOE_VSA8,SlogP_VSA3,SlogP_VSA4,VSA_EState4,VSA_EState6,VSA_EState7,VSA_EState9,fr_aryl_methyl,fr_unbrch_alkane,LUMO_eV
[N+]1(C)=CN(C(CC)CCC(C)(C)CC)(C=C1),2.56363744,312.2901724,3.793737784,3.793737784,1.983566706,1.983566706,0,11.4568313,0,0.785714286,3753.185043,5.51211635,3.655812089,2.370416667,0.243252488,2.370416667,0.488849561,0.23952665,-0.23952665,6,18.43552797,24.67745534,0,7.047671983,5.414990469,0.488849561,0.659282407,11.57056965,2.082540116,1,0,-4.893698176
[N+]1(C)=CN(C(CC)CC(C)CCCC)(C=C1),2.48318228,290.6803776,3.407214815,3.407214815,2.319528094,2.319528094,0,6.041840829,5.917906046,0.785714286,4557.742682,6.719624168,3.992427408,2.390694444,0.243252659,2.390694444,0.674126039,0.239526649,-0.239526649,7,18.43552797,18.75954929,0,7.047671983,5.917906046,0,0.674126039,13.119218,2.087035226,1,0,-4.900501026
[N+]1(C)=CN(C(CC)CC(C)CC(C)C)(C=C1),2.549731677,301.4389154,3.230511447,3.230511447,2.550054005,2.550054005,0,6.041840829,11.83581209,0.785714286,3676.884839,6.071095802,3.992427408,2.381111111,0.243252659,2.381111111,0.661990741,0.239526649,-0.239526649,6,18.43552797,31.09827696,0,7.047671983,11.83581209,0,0.661990741,10.35383244,2.084092839,1,0,-4.888800124
[N+]1(C)=CN(C(CC)CC(C)C(C)CC)(C=C1),2.618005069,303.4389154,3.941509168,3.941509168,2.248464219,2.248464219,0,6.041840829,11.83581209,0.785714286,4295.910168,6.071095802,3.360040921,2.389212963,0.24325266,2.389212963,0.657592593,0.239526649,-0.239526649,6,18.43552797,24.67745534,0,7.047671983,11.83581209,0,0.657592593,10.30384157,2.084639393,1,0,-4.862132952
[N+]1(C)=CN(C(CC)CC(C)C(C)(C)C)(C=C1),2.696710448,319.7214865,3.786320303,3.786320303,1.946295729,1.946295729,0,11.4568313,5.917906046,0.785714286,3125.268691,5.026927203,3.360040921,2.367222222,0.243252662,2.367222222,0.405516227,0.239526649,-0.239526649,4,18.43552797,24.17453976,0,7.047671983,11.33289652,0.405516227,0.634652778,8.945722789,2.079768637,1,0,-4.862405066
[N+]1(C)=CN(C(CC)CC(CC)CCC)(C=C1),2.600717207,290.6803776,3.5619761,3.5619761,2.466292146,2.466292146,0,6.041840829,5.917906046,0.785714286,4762.38704,6.719624168,3.655812089,2.373333333,0.24325266,2.373333333,0.678425926,0.239526649,-0.239526649,7,18.43552797,18.75954929,0,7.047671983,5.917906046,0,0.678425926,13.09725852,2.089847726,1,0,-4.893698176
[N+]1(C)=CN(C(CC)CC(CC)C(C)C)(C=C1),2.677446511,301.4389154,3.724304939,3.724304939,2.444335006,2.444335006,0,6.041840829,11.83581209,0.785714286,4124.778318,6.071095802,3.360040921,2.366111111,0.243252662,2.366111111,0.660694444,0.239526649,-0.239526649,6,18.43552797,24.67745534,0,7.047671983,11.83581209,0,0.660694444,10.33355182,2.086279053,1,0,-4.852336848
[N+]1(C)=CN(C(CC)CC(C)(C)CCC)(C=C1),2.685993804,312.2901724,3.397280364,3.397280364,2.56269237,2.56269237,0,11.4568313,0,0.785714286,3517.553078,5.51211635,3.655812089,2.391527778,0.243252834,2.391527778,0.456615174,0.239526648,-0.239526648,6,18.43552797,24.67745534,0,7.047671983,5.414990469,0.456615174,0.641435185,11.57886306,2.083735906,1,0,-4.811519748
[N+]1(C)=CN(C(CC)CC(C)(C)C(C)C)(C=C1),2.767050868,323.2312615,4.00696606,4.00696606,1.988982029,1.988982029,0,11.4568313,5.917906046,0.785714286,3242.642181,5.026927203,3.098763659,2.378796296,0.243252835,2.378796296,0.406267952,0.239526648,-0.239526648,5,18.43552797,24.17453976,0,7.047671983,11.33289652,0.406267952,0.623703704,8.931406368,2.080167234,1,0,-4.807165924
[N+]1(C)=CN(C(CC)CC(C)(CC)CC)(C=C1),2.757585313,310.2901724,4.117823872,4.117823872,2.253515872,2.253515872,0,11.4568313,0,0.785714286,4135.905847,5.51211635,3.098763659,2.415833333,0.243252835,2.415833333,0.489601285,0.239526648,-0.239526648,6,18.43552797,18.25663372,0,7.047671983,5.414990469,0.489601285,0.644537037,11.54954554,2.085375567,1,0,-4.812608204
[N+]1(C)=CN(C(CC)C(C)CCCCC)(C=C1),2.526331202,290.6803776,3.510503077,3.510503077,2.481344784,2.481344784,0,6.041840829,5.917906046,0.785714286,4569.85853,6.719624168,3.655812089,2.392685185,0.24326255,2.392685185,0.66486678,0.2395265,-0.2395265,7,18.43552797,18.75954929,0,7.047671983,5.917906046,0,0.66486678,13.17697688,2.088263495,1,1,-4.827574474
[N+]1(C)=CN(C(CC)C(C)CCC(C)C)(C=C1),2.594440741,301.4389154,3.446842477,3.446842477,2.361256986,2.361256986,0,6.041840829,11.83581209,0.785714286,3878.130658,6.071095802,3.655812089,2.385462963,0.24326255,2.385462963,0.652731481,0.2395265,-0.2395265,6,18.43552797,24.67745534,0,7.047671983,11.83581209,0,0.652731481,10.39779502,2.085321108,1,0,-4.754647922
[N+]1(C)=CN(C(CC)C(C)CC(C)CC)(C=C1),2.664337714,303.4389154,3.718561116,3.718561116,2.531071721,2.531071721,0,6.041840829,11.83581209,0.785714286,4097.494924,6.071095802,3.360040921,2.389212963,0.243262551,2.389212963,0.648333333,0.2395265,-0.2395265,6,18.43552797,24.67745534,0,7.047671983,11.83581209,0,0.648333333,10.35178564,2.085867662,1,0,-4.801995758
[N+]1(C)=CN(C(CC)C(C)CC(C)(C)C)(C=C1),2.744563159,319.7214865,3.181831451,3.181831451,2.674608999,2.674608999,0,11.4568313,5.917906046,0.785714286,2824.303682,5.026927203,3.655812089,2.374421296,0.243262553,2.374421296,0.418826413,0.2395265,-0.2395265,4,18.43552797,24.17453976,0,7.047671983,11.33289652,0.418826413,0.625393519,8.96473167,2.080996906,1,0,-4.791111198
