Smiles,HOMO_eV,LUMO_eV
[N+]1(CC)=CN(CCCCCCCC)(C=C1),-10.82605549,-4.92254226
[N+]1(CC)=CN(CCC(C)C(C)CC)(C=C1),-11.584981436000001,-4.939957556
[N+]1(CC)=CN(CCC(C)C(C)(C)C)(C=C1),-11.659812786,-4.935331618
[N+]1(CC)=CN(CCC(CC)CCC)(C=C1),-11.629880246,-4.970434324
[N+]1(CC)=CN(CCC(CC)C(C)C)(C=C1),-11.639132122000001,-4.956828624
[N+]1(CC)=CN(CCC(C)(C)CCC)(C=C1),-11.470421442000001,-4.818866826
[N+]1(CC)=CN(CCC(C)(C)C(C)C)(C=C1),-11.371916174,-4.862405066
[N+]1(CC)=CN(CCC(C)(CC)CC)(C=C1),-11.447019638,-4.86948003
[N+]1(CC)=CN(CC(C)CCCCC)(C=C1),-11.229872666,-4.93070568
[N+]1(CC)=CN(CC(C)CCC(C)C)(C=C1),-11.387426672,-4.926079742
[N+]1(CC)=CN(CC(C)CC(C)CC)(C=C1),-11.427971658,-4.919004778
[N+]1(CC)=CN(CCCCCC(C)C)(C=C1),-10.931907836,-4.920637462
[N+]1(CC)=CN(CC(C)CC(C)(C)C)(C=C1),-11.471509898,-4.950297888000001
[N+]1(CC)=CN(CC(C)C(C)CCC)(C=C1),-11.66144547,-4.830839842
[N+]1(CC)=CN(CC(C)C(C)C(C)C)(C=C1),-11.593689084000001,-4.825397562
[N+]1(CC)=CN(CC(C)C(CC)CC)(C=C1),-11.567838254,-4.825669676
[N+]1(CC)=CN(CC(C)C(C)(C)CC)(C=C1),-11.68865687,-4.895602974
[N+]1(CC)=CN(CC(CC)CCCC)(C=C1),-11.530558636,-4.838459034
[N+]1(CC)=CN(CC(CC)CC(C)C)(C=C1),-11.71994998,-4.905126964
[N+]1(CC)=CN(CC(CC)C(C)CC)(C=C1),-11.669064662,-4.829207158
[N+]1(CC)=CN(CC(CC)C(C)(C)C)(C=C1),-11.814101424,-4.842812858
[N+]1(CC)=CN(CC(CCC)CCC)(C=C1),-11.828251352,-4.8300235
[N+]1(CC)=CN(CCCCC(C)CC)(C=C1),-10.973269164000001,-4.912746156000001
[N+]1(CC)=CN(CC(C(C)C)CCC)(C=C1),-11.756413256,-4.8289350440000005
[N+]1(CC)=CN(CC(C(C)C)C(C)C)(C=C1),-11.71586827,-4.84771091
[N+]1(CC)=CN(CC(C)(C)CCCC)(C=C1),-11.682126134,-4.8531531900000004
[N+]1(CC)=CN(CC(C)(C)CC(C)C)(C=C1),-11.667431978,-4.857779128000001
[N+]1(CC)=CN(CC(C)(C)C(C)CC)(C=C1),-11.700902000000001,-4.846078226
[N+]1(CC)=CN(CC(C)(C)C(C)(C)C)(C=C1),-11.754236344,-4.832200412
[N+]1(CC)=CN(CC(C)(CC)CCC)(C=C1),-11.700629886,-4.816689914
[N+]1(CC)=CN(CC(C)(CC)C(C)C)(C=C1),-11.771923754,-4.828118702
[N+]1(CC)=CN(CC(CC)(CC)CC)(C=C1),-11.80566589,-4.823764878
[N+]1(CC)=CN(C(C)CCCCCC)(C=C1),-11.260621548000001,-4.8493435940000005
[N+]1(CC)=CN(CCCCC(C)(C)C)(C=C1),-11.61110438,-4.970434324
[N+]1(CC)=CN(C(C)CCCC(C)C)(C=C1),-11.433686052,-4.84907148
[N+]1(CC)=CN(C(C)CCC(C)CC)(C=C1),-11.497632842000002,-4.833288868
[N+]1(CC)=CN(C(C)CCC(C)(C)C)(C=C1),-11.817638906,-4.8346494380000005
[N+]1(CC)=CN(C(C)CC(C)CCC)(C=C1),-11.790971734,-4.844445542
[N+]1(CC)=CN(C(C)CC(C)C(C)C)(C=C1),-11.7961419,-4.82730236
[N+]1(CC)=CN(C(C)CC(CC)CC)(C=C1),-11.711514446,-4.81913894
[N+]1(CC)=CN(C(C)CC(C)(C)CC)(C=C1),-11.553416212,-4.783219892
[N+]1(CC)=CN(C(C)C(C)CCCC)(C=C1),-11.742535442000001,-4.741858564
[N+]1(CC)=CN(C(C)C(C)CC(C)C)(C=C1),-11.77301221,-4.73886531
[N+]1(CC)=CN(C(C)C(C)C(C)CC)(C=C1),-11.706344280000001,-4.793015996
[N+]1(CC)=CN(CCCC(C)CCC)(C=C1),-11.116673242000001,-4.909480788
[N+]1(CC)=CN(C(C)C(C)C(C)(C)C)(C=C1),-11.783624656,-4.80009096
[N+]1(CC)=CN(C(C)C(CC)CCC)(C=C1),-11.795325558000002,-4.794104452
[N+]1(CC)=CN(C(C)C(CC)C(C)C)(C=C1),-11.811924512000001,-4.798458276
[N+]1(CC)=CN(C(C)C(C)(C)CCC)(C=C1),-11.731378768,-4.732606688
[N+]1(CC)=CN(C(C)C(C)(C)C(C)C)(C=C1),-11.718045182000001,-4.7184567600000005
[N+]1(CC)=CN(C(C)C(C)(CC)CC)(C=C1),-11.718317296,-4.712470252
[N+]1(CC)=CN(C(CC)CCCCC)(C=C1),-11.734372022,-4.833833096
[N+]1(CC)=CN(C(CC)CCC(C)C)(C=C1),-11.829067694,-4.848799366
[N+]1(CC)=CN(C(CC)CC(C)CC)(C=C1),-11.82063216,-4.82866293
[N+]1(CC)=CN(C(CC)CC(C)(C)C)(C=C1),-11.819543704,-4.777233384
[N+]1(CC)=CN(CCCC(C)C(C)C)(C=C1),-11.295724254,-4.95927765
[N+]1(CC)=CN(C(CC)C(C)CCC)(C=C1),-11.788522708,-4.755464264
[N+]1(CC)=CN(C(CC)C(C)C(C)C)(C=C1),-11.799407268000001,-4.810703406
[N+]1(CC)=CN(C(CC)C(CC)CC)(C=C1),-11.781447744000001,-4.722538470000001
[N+]1(CC)=CN(C(CC)C(C)(C)CC)(C=C1),-11.774100666,-4.753015238
[N+]1(CC)=CN(C(CCC)CCCC)(C=C1),-11.807026460000001,-4.796825592
[N+]1(CC)=CN(C(CCC)CC(C)C)(C=C1),-11.81110817,-4.788117944000001
[N+]1(CC)=CN(C(CCC)C(C)CC)(C=C1),-11.774644894,-4.7478450720000005
[N+]1(CC)=CN(C(C(C)C)CCCC)(C=C1),-11.814101424,-4.810159178
[N+]1(CC)=CN(C(C(C)C)CC(C)C)(C=C1),-11.78933905,-4.757369062
[N+]1(CC)=CN(C(C(C)C)C(C)CC)(C=C1),-11.78797848,-4.743763362
[N+]1(CC)=CN(CCCC(CC)CC)(C=C1),-11.397767004,-4.8844463
[N+]1(CC)=CN(C(C(C)C)C(C)(C)C)(C=C1),-11.758862282,-4.706755858
[N+]1(CC)=CN(C(CCC)C(C)(C)C)(C=C1),-11.802672636,-4.734511486000001
[N+]1(CC)=CN(C(C)(C)CCCCC)(C=C1),-11.421985150000001,-4.692878044
[N+]1(CC)=CN(C(C)(C)CCC(C)C)(C=C1),-11.65464262,-4.687435764
[N+]1(CC)=CN(C(C)(C)CC(C)CC)(C=C1),-11.691922238,-4.682809826
[N+]1(CC)=CN(C(C)(C)CC(C)(C)C)(C=C1),-11.77709392,-4.689884790000001
[N+]1(CC)=CN(C(C)(C)C(C)CCC)(C=C1),-11.68593573,-4.724443268
[N+]1(CC)=CN(C(C)(C)C(C)C(C)C)(C=C1),-11.711514446,-4.724987496
[N+]1(CC)=CN(C(C)(C)C(CC)CC)(C=C1),-11.744984468,-4.65178883
[N+]1(CC)=CN(C(C)(C)C(C)(C)CC)(C=C1),-11.710698104,-4.636006218
[N+]1(CC)=CN(CCCC(C)(C)CC)(C=C1),-11.174633524,-4.893153948
[N+]1(CC)=CN(C(C)(CC)CCCC)(C=C1),-11.69954143,-4.723354812
[N+]1(CC)=CN(C(C)(CC)CC(C)C)(C=C1),-11.698725088000002,-4.70621163
[N+]1(CC)=CN(C(C)(CC)C(C)CC)(C=C1),-11.722671120000001,-4.63274085
[N+]1(CC)=CN(C(C)(CC)C(C)(C)C)(C=C1),-11.689201098,-4.670292582
[N+]1(CC)=CN(C(C)(CCC)CCC)(C=C1),-11.70226257,-4.713286594
[N+]1(CC)=CN(C(C)(C(C)C)CCC)(C=C1),-11.702806798000001,-4.622944746000001
[N+]1(CC)=CN(C(C)(C(C)C)C(C)C)(C=C1),-11.6872963,-4.67083681
[N+]1(CC)=CN(C(CC)(CC)CCC)(C=C1),-11.69545972,-4.648523462000001
[N+]1(CC)=CN(C(CC)(CC)C(C)C)(C=C1),-11.665255066,-4.6814492560000005
[N+]1(CC)=CN(CCC(C)CCCC)(C=C1),-11.256267724,-4.886078984
[N+]1(CC)=CN(CCC(C)CC(C)C)(C=C1),-11.627975447999999,-4.948393090000001
[N+]1(CC)=CN(CCC)(C=C1),-12.064446304,-5.04907527
